index,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Cluster,Psych_Label
14608,6,19,1,2,1,1,EG,2,4,2,5,2,5,1,4,1,4,3,2,3,1,2,4,5,5,5,4,5,2,2,1,4,3,5,3,2,3,4,4,1,2,1,4,2,3,1,3,3,2,1,4,2,5,4,2,3,1.0,2,Internalizer
14609,3,25,2,2,1,1,SI,1,5,2,5,1,5,1,4,1,5,3,3,1,3,4,4,5,4,4,4,1,2,1,2,5,3,3,3,5,5,3,5,5,2,5,5,3,1,1,5,4,4,5,3,3,3,5,5,5,5.0,0,Reserved
14610,5,28,2,1,1,1,EG,1,5,2,5,1,5,1,4,2,5,5,2,4,3,4,2,3,5,5,3,2,3,4,3,2,3,2,2,5,3,2,1,4,2,2,3,1,3,3,3,5,1,5,2,4,2,4,3,2,5.0,2,Internalizer
14611,3,37,1,2,1,1,US,3,1,5,2,5,2,4,4,3,2,4,2,5,3,4,5,4,4,4,3,1,4,3,5,2,5,2,3,5,4,4,1,4,2,3,2,4,2,3,4,3,2,5,3,3,1,2,2,4,4.0,1,Striver
14612,3,13,2,2,2,1,IT,1,1,5,3,5,1,4,2,2,4,1,4,5,3,2,1,4,3,1,3,1,5,1,5,1,5,1,5,4,5,4,2,4,2,3,4,5,3,5,4,4,1,5,1,5,1,5,1,5,5.0,3,Balanced
14613,3,36,2,2,1,1,DE,4,1,5,3,5,2,4,2,5,1,5,2,4,4,2,2,2,1,2,2,1,5,1,5,1,5,1,5,5,5,2,2,3,2,2,5,3,4,2,4,5,1,5,1,4,1,5,5,5,5.0,3,Balanced
14614,3,49,1,2,1,5,ZA,1,2,3,3,5,2,1,4,3,4,2,2,5,2,4,5,2,2,4,2,1,5,2,5,2,5,2,5,4,3,2,4,4,3,1,2,3,2,3,1,3,4,4,4,3,2,2,3,4,4.0,2,Internalizer
14615,3,45,1,2,1,1,US,2,2,5,2,4,1,4,3,4,3,3,3,4,4,1,3,2,2,3,1,1,4,2,4,2,5,2,5,5,3,3,1,5,2,3,1,5,1,5,5,5,1,4,2,4,2,5,4,5,5.0,3,Balanced
14616,3,17,1,2,1,5,US,1,2,4,2,4,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,3,2,2,3,4,2,4,4,3,4,2,4,4,3,4,4,3,2,4,2,3,2,4,2,4,2.0,2,Internalizer
14617,3,24,2,1,1,1,IT,2,2,2,3,4,2,2,4,4,2,3,2,5,3,2,1,4,3,2,3,2,4,1,5,1,3,2,4,5,4,2,3,3,3,2,5,2,4,2,5,3,2,4,2,4,2,4,4,5,4.0,3,Balanced
